matricul	departem	ptvente	sexe	age	sitfamil	anciente	csp	codeqlt	nbimpaye	mtrejet	nbopguic	moycred3	aveparmo	endette	engagemt	engagemc	engagemm	nbcptvue	moysold3	moycredi	agemvt	nbop	mtfactur	engageml	nbvie	mtvie	nbeparmo	mteparmo	nbeparlo	mteparlo	nblivret	mtlivret	nbeparlt	mteparlt	nbeparte	mteparte	nbbon	mtbon	nbpaiecb	nbcb	nbcbptar	avtscpte	aveparfi	sexer	cartevpr	nbjdebit
1248922	65	2	1	34	2	362	2	2	0	0	2	32	48931	20	518657	9699	105008	1	9201	32	11	90	0	403950	0	0	2	48931	2	48931	0	0	0	0	0	0	0	0	40	2	0	48931	0	0	1	4
1252395	31	2	1	56	1	187	1	1	0	0	10	66	222748	0	0	0	0	2	11744	66	11	91	0	0	1	97531	4	222748	2	106657	2	116091	0	0	0	0	0	0	3	2	0	406994	97531	0	1	0
1343806	31	1	1	49	1	209	1	1	0	0	2	91	318781	8	557171	21435	0	1	54858	91	11	37	125672	535736	2	279999	3	318781	2	287229	1	31552	0	0	0	0	0	0	4	2	0	881133	500410	0	1	0
1544241	65	1	0	61	5	185	3	1	0	0	2	15	219959	0	2153	2153	0	1	6293	14	11	28	0	0	2	50524	4	219959	2	94594	0	0	2	125365	0	0	0	0	12	2	0	591101	369777	1	1	4
1740892	31	4	0	41	3	268	3	1	0	0	7	54	19673	0	0	0	0	2	19467	52	11	22	132295	0	13	2947037	3	19673	1	5300	2	14373	0	0	0	0	0	0	0	1	0	3530191	3505061	1	1	4
1970765	31	1	1	50	1	94	1	1	0	0	13	243	452580	2	51059	0	51059	2	39226	243	11	88	0	0	1	135564	4	452580	1	2320	2	421972	1	28288	0	0	0	0	0	1	0	1236029	700685	0	1	8
2647067	24	1	1	43	2	85	5	2	0	0	1	22	29483	12	83808	0	83808	1	4340	22	11	41	84000	0	0	0	1	29483	0	0	1	29483	0	0	0	0	0	0	12	1	0	42542	0	0	1	0
2849823	31	1	1	26	2	75	3	2	0	0	0	41	28172	8	249605	0	0	2	13329	41	11	48	0	249605	0	0	2	28172	2	28172	0	0	0	0	0	0	0	0	38	3	0	55618	0	0	1	0
3258308	31	1	1	52	1	38	1	2	0	0	3	53	52913	6	271749	0	271749	2	6333	53	11	72	0	0	0	0	3	52913	1	2216	2	50697	0	0	0	0	0	0	29	4	0	165849	5753	0	1	86
3346139	31	1	1	32	2	147	1	1	0	0	0	14	131813	0	0	0	0	1	20105	14	11	20	52863	0	0	0	3	131813	2	120043	1	11770	0	0	0	0	0	0	4	1	0	270249	126828	0	1	0
3901483	32	2	1	33	2	162	1	4	0	0	0	22	16302	0	0	0	0	1	8192	19	14	47	0	0	0	0	1	16302	0	0	1	16302	0	0	0	0	0	0	23	2	0	16327	0	0	1	0
5044500	31	3	1	28	2	10	1	4	0	0	0	0	100	0	345	345	0	1	-91	0	11	2	24500	0	0	0	1	100	0	0	1	100	0	0	0	0	0	0	0	1	0	100	0	0	1	3
5064228	65	1	1	48	3	3	2	5	0	0	0	26	0	0	0	0	0	1	14412	26	14	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	0	2455	0	0	1	0
5068163	31	2	0	41	2	1	1	5	0	0	3	80	39700	0	0	0	0	1	10009	80	11	9	4200	0	0	0	1	39700	0	0	1	39700	0	0	0	0	0	0	0	1	0	60098	0	1	1	0
5068673	31	2	1	33	1	1	1	5	0	0	0	8	13000	0	2563	2563	0	1	1696	7	11	13	0	0	0	0	1	13000	1	13000	0	0	0	0	0	0	0	0	0	2	0	13000	0	0	1	0
7534429	31	1	0	63	1	2	1	5	0	0	1	27	30669	0	0	0	0	1	9871	17	18	6	0	0	0	0	1	30669	0	0	1	30669	0	0	0	0	0	0	0	1	0	229729	148060	1	1	0
133439	31	1	1	48	1	337	2	2	0	0	3	44	2125	19	584230	0	0	1	13834	44	12	74	69000	584230	2	21986	2	2125	0	0	2	2125	0	0	0	0	0	0	28	2	0	82617	51218	0	1	7
543448	65	1	0	65	1	255	5	2	0	0	1	71	43714	17	127460	0	127460	1	16348	48	12	26	128300	0	3	156196	2	43714	2	43714	0	0	0	0	0	0	0	0	0	2	0	203805	156196	1	1	5
1231284	31	1	1	62	1	363	1	1	0	0	2	44	223825	0	0	0	0	1	10837	44	12	48	63500	0	0	0	3	223825	2	192011	1	31814	0	0	0	0	0	0	11	2	0	258851	300	0	1	1
1252382	66	2	1	35	2	189	1	2	0	0	1	19	19122	30	259057	0	16326	1	5360	19	12	33	0	242731	0	0	3	19122	2	18841	1	281	0	0	0	0	0	0	10	2	0	21026	0	0	1	29
1334438	32	3	1	46	1	54	1	1	0	0	2	28	122457	16	306503	0	44406	1	17289	28	12	58	44500	262097	0	0	4	122457	1	42429	2	78960	1	1068	0	0	0	0	18	3	1	185010	62293	0	1	1
1560224	65	4	1	34	2	90	2	2	0	0	5	71	22006	1	111923	0	111923	2	14387	67	12	71	0	0	0	0	2	22006	1	6718	1	15288	0	0	0	0	0	0	10	2	1	144070	83549	0	1	8
2448202	31	1	1	40	2	101	2	1	0	0	3	32	559103	13	69775	0	43724	2	19163	32	12	31	0	26051	2	26153	4	559103	2	479261	2	79842	0	0	0	0	0	0	8	2	0	739540	137863	0	1	1
2454856	31	1	1	54	1	113	1	2	0	0	0	81	0	0	0	0	0	1	167799	81	15	38	84000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	2	220433	0	0	1	0
2850436	31	1	1	53	1	63	1	4	0	0	1	11	500	53	65874	17110	48764	1	-11896	11	15	25	0	0	0	0	2	500	0	0	2	500	0	0	0	0	0	0	12	2	0	500	0	0	1	65
4004405	31	1	1	34	1	144	1	2	0	0	0	171	218353	0	31479	21040	10439	1	-12246	104	12	54	0	0	1	19568	3	218353	1	68353	2	150000	0	0	0	0	0	0	21	3	0	362127	143774	0	1	88
5004401	31	1	1	30	1	26	1	2	0	0	0	49	62707	9	146581	15441	131140	1	8682	49	12	30	0	0	0	0	1	62707	0	0	1	62707	0	0	0	0	0	0	7	2	0	62707	0	0	1	2
5013143	40	1	0	30	2	23	5	3	0	0	5	5	0	0	1261	1261	0	1	505	1	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2566	0	1	1	4
5065825	31	1	1	34	4	3	1	5	0	0	1	31	0	7	46076	46076	0	1	44206	31	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27363	0	0	1	0
5065986	31	1	1	39	1	3	1	5	0	0	1	3	0	0	0	0	0	1	4814	3	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7113	0	0	1	0
7558443	31	1	1	43	1	27	5	2	0	0	1	76	26251	10	396900	0	0	1	84186	0	15	4	0	396900	0	0	1	26251	0	0	1	26251	0	0	0	0	0	0	1	1	0	63017	0	0	1	3
131747	31	1	1	58	1	786	1	1	0	0	2	41	352969	0	0	0	0	1	20537	41	14	29	151900	0	0	0	3	352969	1	101901	2	251068	0	0	0	0	0	0	13	1	0	526839	164797	0	1	1
146807	31	1	1	39	2	247	2	4	0	0	3	2	360722	33	12220	377	11843	1	15098	1	14	51	103000	0	0	0	5	360722	0	0	4	360722	0	0	1	0	0	0	19	2	0	360722	0	0	1	6
545144	65	2	1	46	1	235	1	2	0	0	7	60	12243	14	459921	1186	17781	2	13368	57	14	70	0	440954	0	0	1	12243	0	0	1	12243	0	0	0	0	0	0	10	1	0	47129	0	0	1	55
552080	65	1	0	43	3	145	5	1	0	0	0	30	14718	28	166617	0	0	1	9517	10	14	16	0	166617	1	40380	2	14718	1	2000	1	12718	0	0	0	0	0	0	6	2	0	62505	40380	1	1	6
552539	65	1	1	34	1	139	4	4	0	0	0	45	848	10	723753	8153	0	2	-13406	45	14	44	192000	715600	0	0	1	848	0	0	0	0	1	848	0	0	0	0	14	1	0	848	0	0	1	68
646307	65	1	1	31	2	92	5	1	0	0	1	60	318167	21	240171	0	240171	1	5452	9	14	18	0	0	0	0	3	318167	2	249355	1	68812	0	0	0	0	0	0	1	1	0	363410	0	0	1	1
807218	31	1	1	28	1	119	5	3	0	-51	17	500	0	2	507440	96391	210301	1	3636	12	15	36	0	200748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2384	0	0	1	16
860436	31	2	1	42	3	49	1	3	0	0	0	22	257	21	70047	28692	41355	1	866	22	14	41	0	0	0	0	1	257	0	0	1	257	0	0	0	0	0	0	20	2	0	257	0	0	1	35
1053848	31	1	1	34	1	182	4	2	0	0	4	41	0	12	741826	0	0	1	10590	41	15	60	15522	741826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	2	0	32007	0	0	1	12
1146168	31	1	0	43	1	176	1	1	0	0	4	111	607952	2	506379	0	0	2	35315	111	14	68	210220	506379	1	11756	4	607952	2	515464	1	34281	1	58207	0	0	0	0	30	2	0	922580	191280	1	1	50
1163558	31	1	1	51	3	132	1	3	0	0	1	114	0	42	576929	0	0	1	192261	114	14	85	263500	576929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	4	1	242557	58624	0	1	9
1222222	31	1	1	49	1	318	1	2	0	0	1	37	75439	0	0	0	0	1	35867	37	14	29	85122	0	0	0	1	75439	1	75439	0	0	0	0	0	0	0	0	12	2	0	125034	2500	0	1	0
1245931	31	1	1	62	1	868	5	3	0	0	1	104	0	10	150664	51314	99350	1	343	0	40	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	416	0	0	1	4
1451001	31	2	1	47	3	203	1	3	0	0	2	40	14686	17	274798	12523	0	1	-6456	40	15	39	0	262275	0	0	2	14686	2	14686	0	0	0	0	0	0	0	0	23	2	0	15286	600	0	1	53
1452546	31	2	1	47	3	88	1	4	0	0	1	30	0	0	6751	6751	0	1	5268	30	15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	0	0	0	1	14
1644080	31	3	1	56	1	228	1	1	0	0	1	52	373632	0	0	0	0	1	18937	46	14	12	0	0	1	7243	3	373632	1	138276	2	235356	0	0	0	0	0	0	2	1	0	413466	30545	0	1	0
1949374	31	1	1	39	3	103	1	1	0	0	23	60	33478	0	9680	9680	0	2	9197	60	14	75	0	0	2	44647	2	33478	1	3733	1	29745	0	0	0	0	0	0	4	1	0	92343	44647	0	1	6
2231081	31	3	0	64	3	844	6	2	0	0	1	41	105919	6	35479	0	35479	1	7595	41	14	31	0	0	1	19100	3	105919	1	29641	2	76278	0	0	0	0	0	0	11	1	0	131386	20100	1	1	31
2241449	31	1	1	51	1	870	2	1	0	0	1	22	116894	55	323050	30025	106187	2	-7356	22	14	45	0	186838	1	49937	4	116894	2	13827	1	108	1	102959	0	0	0	0	16	1	0	167951	49937	0	1	85
2243651	31	1	1	50	1	226	5	1	0	0	8	79	30765	10	105636	10350	53339	1	12551	10	15	21	0	41947	0	0	3	30765	1	0	1	29923	1	842	0	0	0	0	4	3	1	66069	0	0	1	0
2244573	31	3	0	46	1	83	1	1	0	0	26	76	259179	8	95606	0	95606	2	56651	76	14	79	0	0	4	128483	4	259179	2	145412	1	30444	1	83323	0	0	0	0	14	2	0	1095473	770248	1	1	0
2344166	31	1	1	47	1	161	5	2	0	0	2	29	16878	14	108427	0	108427	1	34312	29	14	36	0	0	0	0	1	16878	1	16878	0	0	0	0	0	0	0	0	6	1	0	55324	1000	0	1	0
2646853	97	1	1	33	1	150	1	1	0	0	1	26	580	0	9586	9586	0	2	9110	26	15	34	115000	0	0	0	1	580	0	0	1	580	0	0	0	0	0	0	20	2	0	800	0	0	1	7
3252819	31	2	0	59	1	186	5	1	0	0	13	81	100604	3	97707	0	97707	1	6044	2	16	2	99660	0	1	5818	3	100604	1	27451	1	7000	1	66153	0	0	0	0	5	2	0	126740	5818	1	1	0
5002794	31	3	1	32	2	28	2	4	0	0	7	40	15315	3	40086	0	40086	1	-11472	40	14	31	0	0	0	0	1	15315	1	15315	0	0	0	0	0	0	0	0	3	3	0	17795	0	0	1	85
5006282	31	1	1	30	2	27	1	2	0	0	2	93	0	0	60000	0	60000	1	45665	32	15	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	0	264783	0	0	1	26
5028122	31	2	1	42	1	18	1	3	0	0	13	124	0	5	674032	44178	129677	2	6178	124	14	65	0	500177	1	7842	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8613	7842	0	1	51
5033438	65	1	1	45	1	16	1	3	0	0	3	24	0	6	70827	4802	66025	1	-359	24	14	22	111100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	1	52
5054835	31	1	1	62	3	8	6	3	0	0	0	0	29574	0	0	0	0	1	866	0	14	0	0	0	0	0	1	29574	0	0	1	29574	0	0	0	0	0	0	0	1	0	50440	0	0	1	0
7549621	64	1	1	54	1	7	1	3	0	0	1	16	0	0	0	0	0	1	159222	16	14	38	95378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	23555	0	0	1	0
153976	46	2	0	40	1	195	1	2	0	0	0	29	0	0	0	0	0	1	51724	29	14	8	0	0	1	253915	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	332200	253915	1	1	0
161022	31	1	1	45	1	137	5	1	0	0	8	206	337611	7	1643458	0	373966	1	119749	17	10	20	0	1269492	1	147796	5	337611	2	12337	3	325274	0	0	0	0	0	0	2	1	0	692564	147796	0	1	0
562218	75	1	1	41	1	222	4	4	0	0	0	49	23993	13	79535	23971	55564	1	-12177	49	14	134	389362	0	0	0	2	23993	1	23854	1	139	0	0	0	0	0	0	69	3	0	23993	0	0	1	66
564164	65	1	1	25	2	137	3	2	0	0	2	8	22983	0	0	0	0	1	-5461	8	10	39	135581	0	0	0	2	22983	1	22793	1	190	0	0	0	0	0	0	19	2	0	122315	90133	0	1	85
584918	75	2	0	32	2	165	2	1	0	0	0	24	402219	0	2041	2041	0	1	-7256	24	10	54	56214	0	1	74263	4	402219	2	401875	2	344	0	0	0	0	0	0	26	2	0	476482	74263	1	1	66
749896	31	1	1	51	2	76	1	2	0	0	0	30	0	0	0	0	0	2	13694	30	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	54716	0	0	1	0
941523	31	1	1	44	1	257	2	3	0	0	0	48	0	0	0	0	0	2	10626	49	10	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	2	0	34106	0	0	1	32
1050432	31	4	1	51	1	862	2	2	0	0	3	42	548	14	311773	0	132206	1	504	42	10	67	0	179567	0	0	1	548	0	0	0	0	1	548	0	0	0	0	19	2	0	38646	50	0	1	52
1340063	31	1	1	52	1	303	2	2	0	0	2	31	0	2	5595	5595	0	1	3472	31	10	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	0	26207	9552	0	1	25
1949917	31	1	1	24	2	87	2	3	0	0	4	17	27788	8	49311	567	48744	1	455	2	10	41	0	0	0	0	3	27788	0	0	3	27788	0	0	0	0	0	0	23	2	0	27788	0	0	1	14
1980113	33	1	1	53	1	88	2	4	0	0	0	89	0	2	82975	0	82975	1	44851	89	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	55873	0	0	1	8
2550721	31	1	1	52	1	196	1	1	0	0	2	44	121467	0	3037	3037	0	1	22536	44	10	77	0	0	0	0	4	121467	2	86733	2	34734	0	0	0	0	0	0	28	3	0	737828	616361	0	1	6
2643348	31	1	1	46	1	177	1	1	0	0	1	33	18892	0	898	898	0	1	7734	33	10	101	114374	0	1	51845	2	18892	0	0	2	18892	0	0	0	0	0	0	40	4	1	70737	51845	0	1	0
2840169	31	1	1	63	1	791	5	1	0	0	2	297	417078	5	243391	125865	117526	1	58283	148	10	82	147400	0	0	0	4	417078	2	97453	2	319625	0	0	0	0	0	0	34	3	0	468185	51107	0	1	5
3745851	65	1	0	35	1	197	1	1	0	0	8	122	49904	11	727037	0	121985	2	26798	108	10	130	0	605052	0	0	3	49904	2	8731	1	41173	0	0	0	0	0	0	29	1	0	104655	0	1	1	4
5047362	31	2	0	64	3	12	6	2	0	0	0	13	95365	0	0	0	0	1	8210	13	10	42	0	0	0	0	3	95365	0	0	3	95365	0	0	0	0	0	0	16	1	0	159394	62803	1	1	5
5065847	31	3	0	42	1	5	1	3	0	0	0	20	0	23	107678	107678	0	1	6906	20	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	11
5074054	31	3	1	36	1	2	1	5	0	0	0	1	1100	0	0	0	0	1	1202	1	48	0	0	0	0	0	1	1100	0	0	1	1100	0	0	0	0	0	0	0	1	0	2913	0	0	1	0
5074279	81	1	1	51	4	2	1	5	0	0	2	1	0	0	0	0	0	1	1700	1	10	3	84000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3108	0	0	1	0
5075425	31	2	1	52	1	1	1	5	0	0	0	0	0	0	780	780	0	1	-390	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	6
7508550	31	1	1	54	1	141	2	2	0	0	1	46	87724	2	80408	0	80408	1	11797	45	10	84	58706	0	0	0	4	87724	2	5124	2	82600	0	0	0	0	0	0	26	2	0	115048	0	0	1	0
7551721	31	2	0	58	1	5	3	4	0	0	1	3	28523	0	0	0	0	1	526	3	10	8	130810	0	0	0	2	28523	0	0	2	28523	0	0	0	0	0	0	0	1	0	38677	0	1	1	0
152046	31	1	1	49	1	212	5	1	0	0	24	52	9120	4	175075	73193	101882	1	-6704	16	11	25	0	0	2	56505	4	9120	2	8809	2	311	0	0	0	0	0	0	19	2	0	65625	56505	0	1	84
154656	31	1	1	41	1	189	1	1	0	0	1	82	17188	99	325515	0	325515	1	23836	82	11	46	34594	0	2	1886424	1	17188	1	17188	0	0	0	0	0	0	0	0	0	2	1	1945469	1886424	0	1	22
161604	31	1	1	52	1	134	3	4	0	0	1	25	0	7	106801	27602	79199	2	-8571	25	11	30	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	2	0	47519	1500	0	1	93
241353	94	1	0	36	3	275	2	2	0	0	0	14	2612	24	51401	12755	38646	1	7954	13	11	41	0	0	0	0	2	2612	1	2190	1	422	0	0	0	0	0	0	17	3	0	10489	0	1	1	0
245138	32	1	0	59	1	217	1	3	0	0	16	75	0	3	49857	0	49857	1	21115	75	11	31	143909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	32699	500	1	1	8
249585	32	1	0	54	1	149	1	2	0	0	2	28	93080	0	0	0	0	2	3678	24	11	50	0	0	0	0	1	93080	0	0	1	93080	0	0	0	0	0	0	28	2	0	105223	0	1	1	2
560170	65	1	1	53	1	285	1	1	0	0	3	61	345506	0	0	0	0	1	27376	61	11	50	0	0	0	0	3	345506	2	315825	1	29681	0	0	0	0	0	0	23	1	0	355100	750	0	1	2
643916	65	1	1	44	1	177	1	2	0	0	1	17	14038	19	1078217	780	20897	1	4483	17	16	18	0	1056540	0	0	2	14038	1	11359	0	0	1	2679	0	0	0	0	0	1	0	50673	500	0	1	0
747448	31	1	1	50	1	173	1	2	0	0	10	144	39316	9	133507	7177	117603	2	14668	141	11	115	174488	8727	0	0	4	39316	2	8861	2	30455	0	0	0	0	0	0	23	3	0	71976	0	0	1	59
855407	31	3	1	26	2	119	3	2	0	0	2	58	45603	0	0	0	0	1	45369	58	15	17	0	0	0	0	1	45603	1	45603	0	0	0	0	0	0	0	0	10	2	0	53583	0	0	1	0
944782	31	1	0	56	1	158	1	4	0	0	4	15	18364	17	23660	23660	0	1	13992	14	15	35	0	0	0	0	1	18364	1	18364	0	0	0	0	0	0	0	0	14	2	0	27040	0	1	1	0
1054710	31	4	1	56	1	718	1	1	0	0	2	22	0	0	0	0	0	1	53391	22	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	48148	0	0	1	0
1167980	31	1	1	61	1	65	2	4	0	0	3	15	174394	32	93110	14537	78573	1	1133	15	11	26	0	0	1	9697	3	174394	2	174148	1	246	0	0	0	0	0	0	0	1	0	184091	9697	0	1	48
1244152	31	1	1	35	2	206	4	2	0	0	0	20	36222	3	61800	1800	60000	1	-3364	20	11	64	0	0	1	24914	1	36222	0	0	0	0	1	36222	0	0	0	0	38	2	0	118571	24914	0	1	88
1246291	31	1	1	32	1	153	2	3	0	0	0	44	0	2	7899	7899	0	1	-1593	36	11	57	0	0	1	950	1	0	0	0	1	0	0	0	0	0	0	0	30	2	0	6831	950	0	1	59
1250991	31	1	1	43	1	243	1	1	0	0	12	167	317486	2	200358	0	0	2	22063	162	11	108	0	200358	1	107633	5	317486	2	156043	3	161443	0	0	0	0	0	0	34	2	0	465595	107633	0	1	38
1341730	13	3	0	56	3	258	1	2	0	0	2	167	297046	2	535969	273000	25639	1	100138	117	11	29	208179	237330	0	0	2	297046	1	19790	1	277256	0	0	0	0	0	0	0	3	1	324706	0	1	1	0
1342024	31	3	1	48	1	302	1	2	0	0	6	47	0	0	0	0	0	1	46628	47	11	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	41153	0	0	1	0
1482451	32	2	0	50	2	57	1	3	0	0	0	49	0	0	0	0	0	1	13278	49	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	24657	0	1	1	35
2453082	31	1	0	65	1	188	1	1	0	0	2	17	158372	0	0	0	0	1	17650	13	11	32	0	0	0	0	3	158372	1	49417	2	108955	0	0	0	0	0	0	2	1	0	266087	95038	1	1	0
3252089	31	2	1	40	2	200	5	2	0	0	1	33	283329	0	0	0	0	1	4292	7	11	21	120466	0	0	0	2	283329	2	283329	0	0	0	0	0	0	0	0	13	1	0	318169	10220	0	1	10
3342290	31	1	1	48	1	246	4	2	0	0	1	19	45439	0	0	0	0	1	10438	9	15	21	0	0	0	0	3	45439	1	2141	1	30000	1	13298	0	0	0	0	11	1	0	51132	0	0	1	0
5029400	31	1	1	35	2	20	2	3	0	0	7	51	20000	0	50000	0	50000	1	12781	49	11	97	0	0	0	0	3	20000	3	20000	0	0	0	0	0	0	0	0	27	3	1	26007	0	0	1	6
5048551	65	1	1	37	2	13	2	2	0	0	2	265	230217	32	91259	0	91259	2	69789	223	11	60	0	0	0	0	3	230217	1	100000	2	130217	0	0	0	0	0	0	3	1	0	330629	0	0	1	59
5050331	64	1	1	55	1	12	1	3	0	0	0	3	12300	0	142701	2701	140000	1	11872	0	11	33	0	0	0	0	3	12300	1	1800	2	10500	0	0	0	0	0	0	3	2	0	12300	0	0	1	0
5063225	31	1	1	35	1	7	1	3	0	0	4	76	0	0	0	0	0	1	93795	76	11	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	190260	0	0	1	0
7504530	31	1	1	46	1	15	1	2	0	0	1	0	0	0	0	0	0	1	118289	0	17	10	0	0	1	126721	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	170718	126721	0	1	0
7568538	31	3	1	45	1	28	1	1	0	0	3	11	36765	19	61472	0	61472	1	5183	11	15	16	58900	0	0	0	2	36765	1	6765	1	30000	0	0	0	0	0	0	0	1	0	143323	97063	0	1	15
123126	31	1	1	54	2	320	1	1	0	0	0	23	208838	0	0	0	0	1	2972	21	15	53	160117	0	0	0	3	208838	1	102725	2	106113	0	0	0	0	0	0	17	2	0	213269	0	0	1	2
147129	31	1	1	49	1	271	1	2	0	0	1	35	14295	2	8116	8116	0	1	6446	35	15	86	140750	0	0	0	2	14295	1	0	1	14295	0	0	0	0	0	0	34	3	0	59110	0	0	1	31
165393	31	2	1	26	2	101	1	2	0	0	1	24	368	0	80455	455	80000	2	6343	24	15	55	0	0	0	0	1	368	0	0	1	368	0	0	0	0	0	0	22	2	0	825	0	0	1	5
177685	31	3	1	58	1	849	1	2	0	0	1	61	42575	0	0	0	0	1	19481	61	15	38	0	0	0	0	3	42575	1	28797	2	13778	0	0	0	0	0	0	7	1	0	221249	126054	0	1	0
450792	82	4	1	38	2	194	1	1	0	0	2	15	125977	0	588	588	0	1	5243	15	15	27	0	0	0	0	3	125977	2	125458	1	519	0	0	0	0	0	0	12	1	0	125977	0	0	1	21
645079	65	1	1	55	5	141	1	2	0	0	1	22	5500	23	268334	0	12826	1	8021	20	15	40	274980	255508	0	0	1	5500	1	5500	0	0	0	0	0	0	0	0	9	2	0	19497	0	0	1	16
942913	31	1	1	45	1	210	1	2	0	0	2	20	10176	99	1637956	0	0	2	10923	20	15	11	0	1637956	0	0	3	10176	2	9891	1	285	0	0	0	0	0	0	0	1	0	24627	0	0	1	0
1050422	31	4	1	49	1	288	2	4	0	0	2	35	166616	0	37438	37438	0	1	-23765	34	15	52	0	0	0	0	3	166616	2	163207	0	0	1	3409	0	0	0	0	21	1	0	178899	12283	0	1	80
1050617	31	1	0	55	2	289	1	2	0	0	1	26	35383	0	0	0	0	1	12567	25	15	43	117000	0	0	0	2	35383	1	34053	1	1330	0	0	0	0	0	0	4	2	0	64471	200	1	1	0
1117030	31	1	1	55	1	314	1	2	0	0	2	192	68777	0	0	0	0	1	49707	192	15	53	0	0	0	0	2	68777	0	0	2	68777	0	0	0	0	0	0	20	2	0	533709	0	0	1	0
